name,ratings,date,helpful,comment,developer_comment
돼지불고기,5,2020-06-08,50,저는 엄청 만족해요 ! 물건 빠르게찾을수있고 괜히 쿠팡맨쿠팡맨 거리는게 아니더라구요 근데 과대포장..?? 이 조금 심한거같아요 ㅎ 뭐 지금 코로나때문에 조금 시끄럽지만 그거 빼고는 괜찮은거같아요 !,
namil kim,1,2020-05-21,137,로켓와우회원인데한다3800원정도꼬박나가고 전에회원아니고일반회원이엇을때도똑같엇는데 뭔차이가있슴까? 정기결제찻는거도귀챤고 쿠팡새끼들 배송늦출라고요리조리구실갓다붙이는식으로서비스되고있음 앱자채는pc버젼하고차이없이잘되고있다 거말이야똑바로하라고 쪼잔하게사기쳐먹을생하지말고 알겟습니까,
아들사랑해,4,2020-06-03,6,"빠르고 좋네요, 단점은 쿠폰을 해당상품 찾아내야하는게 시간걸리고, 예외상품도있어서 좀...그래요.",
junghyun lee,4,2020-06-02,12,"사야될것을 빠르게,싸게 살수있어서 유용했습니다. 조금만 더 빠르게 배송되면 별 5개 입니다!",
마법사현실을 지키는,4,2020-06-12,15,"타로카드 종류좀 늘려주세요.. 포커 카드는 다양한데, 타로카드의 종류가 많이 없어서 아쉽네요.",
김소희,5,2020-05-30,24,배송빠르고 신선식품들도 상태좋고 포장우수하고! 쿠팡 너무 잘 애용합니다. 코로나 잘 이겨내세요!,
임유진,2,2020-06-14,0,상품들이 너무 비싸요ㅜㅜ 가격을 좀 줄여주세요ㅜㅜ 나머지는 다괜찮네요!!,
권서연,4,2020-03-21,435,"데이터 요청에 실패 하였습니다. 웹에서 열기 시 해당 지역 불가 및 페이지로 열어볼 수 없는 상황입니다. 지웠다가 다시 받아도 동일 페이지만 뜹니다. 업데이트도 최신버전입니다. 5G 에서 안되는 부분인가요? wifi 사용시 로그인은 가능한 것으로 확인 했습니다. 개발자님, 빠른 확인 부탁드립니다. 2~3번 껐다가 켜니 다시 되요! 다행 입니다.",
이승보,4,2020-06-13,0,'네이버 페이 결제' 기능할 수 있게 하면 더 좋을 것 같은 데,
Glitter,4,2020-03-20,180,앱도 잘 쓰고 있고 물건도 정말 편리하게 잘 사고 있습니다. 다만 언제부턴가 알림센터에 새로이 표시되는 알림을 읽어도 숫자가 지워지질 않아서 조금 거슬리네요. 치명적인 오류는 아니라지만 예전에는 없던 문제이기 때문에 다음 업데이트 때는 개선됐으면 좋겠습니다. 좋은 가격에 좋은 물건을 구할 수 있게끔 해주셔서 항상 감사드립니다!,
보라,1,2020-06-10,24,잘 쓰고잇엇는데 알림와서 어플 들어갓더니 영어로 엄청길게 뭐라뭐라 되잇어서 끄고 마이쿠팡 들어갓더니 안뜨네요. 어플이 이상해진건지 순간 해킹당한건줄...관리 좀 해줘요,
U-su Choi,1,2020-06-03,6,상담원 문의 미리 남겨도 읽지도 않고 문의대기가닌 길어지고 완전 엉망임.. 쿠팡 이래서 쓰겠나?? 코로나바이러스땜에 하향세이더만.. 짜증 증폭이네요,
kim ajoaienl,2,2020-03-24,65,"상품 검색해서 상품페이지 들어가면 맨위에 광고 배너가 뜹니다. 근데 이게 어떤 폰은 안뜨고 어떤 폰은 뜨네요. 같은 키워드로 검색하고, 필터도 동일하게 적용하고, 같은 아이디이고 기기(둘 다 안드로이드)만 다른 상황입니다. 피드백 바랍니다.",
묘묘한우산,4,2020-04-08,355,정말 좋은 앱인데 궁금한게 있습니다 왜 데이터 요청에 실패 하였습니다. 사용중인 네트워크 상태를 확인해주세요 다시 요청 하겠습니까? 라고 있는데 제 와파는 괜찮고 좋은데 랜덤으로 뜨는건가요? 웹으로 보기를 누르면 현재 위치한 지역에서는 쿠팡은 사용할수 없습니다 라고 나오나요? 분명 어제까지만 해도 쿠팡 하고 잤는데 이상하네요 다른 사람도 이러는거 같은데 운영자님 이거 한번만 확인 해주세요 감사합니다,
서정란,5,2020-05-21,50,쿠팡 아주좋아요!! 상품 배송^^도만족 한가지 불만은 와우회원!인중에도 배송비가 넘많아요 그리고 상품들이 좀더 폭넓게 갖춰져슴 해요,
Jack Lee,1,2020-06-04,5,"왜 앱이 자동으로 계속 열리나요, 이건 뭐 거의 스팸 메일 수준이네요..",
한맘,5,2020-06-14,0,좋아요! 새벽배송 최고! 정육도 싱싱 야채도 싱싱,
고병효,5,2020-05-25,16,옷이랑 블루투스 스피커 살때 매일마다 이용 하고 있는데 넘 좋은것 같아요 !!!!계속해서 이용을 하고 싶네요 !!!!,
귀여운동물친구들사랑해,5,2020-04-13,149,늘 사용하고 있습니다 전 대만족 만족하고 있지만 아쉬운점은 엘지는 소액결제가 중단 됐다는점이요 중단된지 오래인데 풀릴기미 가 안보인다는겁니다 이젠 엘지만 영원히 소액 결제를 못하는겁니까? 참 씁쓸하네요 다른 모바 일 쇼핑몰은 다 되는데 말이죠 쿠팡만 계좌이체 로 하고 있거든요,
가나다,3,2020-05-09,122,"와우클럽은 만족스럽게 사용 중인데 쿠팡 앱에 대한 불만이 두 가지 있어서 불만 하나당 별 한 개씩 뺐습니다. 먼저 배송완료 알림이 안 뜹니다! 로켓프레시는 냉장, 냉동 제품이 많아서 빨리 냉장고에 넣어야 하는데 알림을 켜놨음에도 배송완료 알림이 상단바나 여타 알림으로 뜨지 않아서 언제 온 지도 모르고 아침에 나가보거나 앱 사용 중 배송 평가해달라는 알림을 보고 배송완료 사실을 알게 됩니다. 그리고 상품 검색 시 정렬을 가격순으로 바꾸면 관련성이 높은 제품을 우선 정렬했다면서 상품 목록이 1/10 이하로 줄어듭니다. 우선 정렬의 정확도가 높다면 오히려 유용한 기능이겠지만 대체로 사려던 상품이 같이 걸러져서 곤란해요.",
tv다람쥐,4,2020-06-11,2,좋아요 이것저것 살수있는데 정말 아쉬운건 이찬원 응원봉 이 없어서 슬프네요ㅠ 제가 이찬원 팬인데 그래도 별점4개 아쉬운것 별점1-마이너스 했어요 이찬원 찬또봉 도 넣어 주시면 별점5개로 마무리 짓겠습니다 좋아요^^,
박지영,2,2020-04-09,91,쿠팡 앱 들어가면 집 와이파이 문제인분들도 많다고하시는데 데이터요청에 실패하였습니다.라는 문구도 몇번뜨고 여러번 지우고 로그인도 다시해야되네요.. 그리고 로켓배송 회원인데 아침부터 점심지나고 오후가 되서야 로켓배송으로 뜨던데 앱 불편하신분들 많으실텐데 이 부분은 개선좀 되었으면 좋겠습니다....,
구민영,4,2020-04-29,167,찜목록이 삭제가 되질 않네요! 예전것중에도 필요없는게 정말 많아서 찜목록 계속 지우고 있긴한데.. 지우기 눌렀을때만 사라지고 다시 찜목록 들어가보면 지웠던 물건이 그대로 남아있습니다..나머지 정말 다 좋은데..이 부분 수정 부탁드려도 될까요...,
박소현,3,2020-04-23,142,로켓배송 일부지역이라해도 가입시 주소지를 입력하면 정확하게 나올겁니다. 쿠팡에서 제시하는 가입절차가 문제가 있는건 의류나 또 어떤 생필품은 로켓배송이 가능합니다.하지만 프리미엄회원을 가입하고 로켓배송을 받고자하는 이유는 아주 먼지역 이외빼고는 일부상품만 받기위해서만 회원비를 부담해가면서 받고 싶은사람은 없을수도 있습니다.그또한 선택사항이 되어야하는데 일부지역이라고만 광범위하게 설명을 해놓으면 기본적으로 누구나 섬이나 운송이 어려운 교통수단이 기본 두번이상은 되고곳이라 생각합니다.해외배송도 아닌데..사실 제가 사는곳은 경북이지만 대구와 차로 8분거리에 있습니다.그것도 쿠팡 물류센터와 십오분거리에 있어요..그럼에도 이년이 넘도록 로켓배송을 식품을 주문할때마다 품절이 뜨는데 이유를 몰랐는데 얼마전에 알겠습니다..어의가 없더군요..쿠팡은..정확성을 기재해야 한다고 봅니다..저는 한달에 적어도 쿠팡을 기본적으로 80만원은 이용하는 고객입니다..1년이면..지금까지 생각하면..,
꼬마지민,5,2020-05-19,5,다른 물건을 쉽게 살수 있어서 좋아요! 가격은.....에햄..... 살짝비싸다는점...후후..,
Blue Point,1,2020-05-27,39,업데이트하고 상품 대부분이 로딩중.. 안보임 어떻게된게 업데이트인데 더 퇴보하는것같냐...,
RR Aghepe,3,2020-04-22,33,필터가 불편해요. 여기도 네이버쇼핑처럼 해외직구랑 국내배송이 제대로 안걸러지네요... 그리고 비싼가격순 보면 (50개 이상) 도매가 붙어나오는게 굉장히 불편해요. 필터에 넣어주세요. 아 그리고 푸쉬 껐는데 푸쉬가 날라오기도 하고 안오는날도 있고 가끔 자기 맘대로에요,
붕어저승사자,4,2020-06-02,3,상품이 좋으면서 배송또한 빠른편 이어서 넘 좋아요 ㅎㅎ,
min suk,5,2020-06-11,1,배송 너무 빠르고 제품도 흠집한개 없이 잘옵니다ㅏ!!,
*김뽀짝,3,2020-05-03,155,정말로 죄송하지만 제가 비밀번호를 5번이나 틀려버려서 현재 로그인이 불가능해요 ㅜㅜ 분명 저는 비밀번호 찾기로 올바른 생년월일도 입력 했는데 자꾸 오류로 뜨더라구요... 이거 안 바꾸고 로그인 못 하면 원래 끊어놓았던 로켓와우도 못 끊고요 ㅜㅜ 부탁드립니다 어떻게 할 수 있는 방법이 없을까요?,
김은경,2,2020-05-19,4,지금 접속이안되는데왜그런거죠?와이파이네트워크다안되는데,
김태현,2,2020-05-30,3,찜한상품 폴더만드는거 건의한지 1년 다되가는것같은데 아직도 없네요 어려운 업데이트도 아닌데,
남안재학,4,2020-03-23,69,다양한 물건이 있어서 좋습니다 손쉽고 편리하게 구매도 할수있어 좋네요 하지만 어떤 물건은 시중 보다 비싸게 나와서 조금 실망적인 부분도 있네요 얼마전 방독마스크 필터를 구매 했는데 제조일자가 2017년8월 16일 로 되어 있는것을 보곤 실망 했습니다 직업상 화학회사를 다니는 제가 알기론 방독면은 제조후 1년 까지되는걸로 알고 있는데 제조후 3년이나 지난 상품이 와서 당황핸네요,
지연이,3,2020-03-25,17,장바구니 미리담기 기능처럼 새로 생기는 기능이나 추가되는 기능같은 경우 공지를 해주거나 하는 기능도 있으면 좋겠어요. 똑같은 어플인데 누구는 된다고 하고 누구는 안된다고하고 혼란도오고 이리저리 해보다가 지치기도 하고 그러네요....ㅡㅡ,
이범수,4,2020-06-02,1,다양하고 물건도 빠르게 배송이 잘되어 좋아요,
남최대용,3,2020-06-06,6,빠른배송과 다양한 물건들이 있어 편합니다. 하지만 금액대가 다른데보다 더 빚싼것도있네요 ^.^,
Google 사용자,5,2020-03-28,56,갑자기 앱이 실행에 문제가 생겨서 다시 삭제후 다운 받았어요.방금 다시 실행해봤는데 앱이 잘 실행돱니다. 쿠팡 짱입니다. 항상 애용합니다 쿠팡와우회원입니다. 쿠팡최고입니다.♡♡♡♡♡평생 애용할거임.,
김유정,5,2020-05-24,5,언제나 풍부한고 다양한 품목이 좋아요내앱으로 살수가없어서 다른사람에게 사달라구 부탁을많이해서 좀 불편해요,
Jin Choi,2,2020-04-19,75,지인들에게 찾던 상품의 링크를 받으면 쿠팡이 실행되다 자꾸 구글플레이로 연결됩니다. 이미 업데이트도 다 되어있고 심지어 지웠다 다시 깔아도 그렇네요. 결국 링크로는 못들어오고 쿠팡 홈에서 다시 검색해서 찾아야해 매우 불편합니다. 게다 로켓배송은 좋으나 대체로 상품들이 비싼편이라 더 아쉽습니다.,
PLANT B,1,2020-05-29,5,쇼핑앱중 제일 불편한거같아요. 자꾸 튕기고 멈추고 난리도 아니네요. 이걸 쓰라고 만든건지ㅉ,
SBN방송국,1,2020-05-02,34,쿠팡은좋은데요. 너무데이터는 느려요. ㅜㅜ 그리고주문할때 본인인증할때 인증번호왜안옵니까. 너무실망이네요. 쿠팡은좋은데 그것수정 해주세요. 주문할것많은데요. 인증번호가 그냥신고할까요. 맘에안든다고요. 수정해주시던지 답장주세요. 아니면 신고해볼까요. 쿠팡은좋긴합니다.,
윤정원,5,2020-05-20,4,쿠팡이 좀더 다양한물건을 로켓배송해줬음하는바램! 로켓배송됐던것도 어느날재주문하려할땐 일반배송으로 되어있어서 속상함ㅠ,
0하은,1,2020-06-10,1,서버 왜 이래요? 자꾸 로딩만 되길래 번거롭게 삭제하고 다시 설치했는데 상품도 제대로 안뜨고 저만 이런건지; 답답하네요 다른 어플들은 다 정상적으로 작동하는데ㅋ.. 얼른 복구 좀 해주세요,
kwan seung RUNNER ha,1,2020-05-27,7,돈에 눈이 멀어 직원들의 안전과 최근 코로나 방역에는 신경도 안쓰는 미개한 것들.. 당분간 앱 삭제한다.,
조성운,1,2020-05-01,11,안녕핫에ㅛ 요즈음 들어 쿠팡어플을 많은 사람들이 사용하는 것을 보고 시각장애인도 사용할수 있나 테스트 삼아 쿠팡어플을 설치해 보았습니다. 그러나 일단 검색기능에서 검색을 할려고 하니 삼성 겔럭시 s9+ 모델의 안드로이드 10버전의 시각장애인들이 사용하는 보이스 어시스턴스 음성 안내 어플로는 검색한 단어의 이름이나 검색시 자동완성 팝업창을 읽어주지 않아 현재로서는 시각장애인이 쿠팡어플을 이용할수가 없습니다. 어플을 개발하시는 분들께서는 시각장애인들도 쿠팡어플을 이용할려고 하는구나 하는 생각을 염두해 두시고 개발하실때 시각장애인들이 어플을 이용한다고 생각하시고 눈을 감고 쿠팡어플을 시각장애인이 이용할수 있나 직접 테스트 해보시고 시각장애인들도 이용할수 있도록 어플을 개발해 주시면 감사하겠습니다. 귀사의 번영을 기원드리겠습니다.,
jejuming,1,2020-05-25,2,사진 첨부한 상품평 쓰는데 카메라뿐만 아니라 주소록등 모든 권한 동의 해야하네..,
선우정,1,2020-06-10,0,갑자기 앱오류로 상품 페이지에 들어 갈수 없어요,
방상준,1,2020-06-04,0,처음 본인인증 다른 거로 하면 결제수단을 설정할 수가 없네요,
V성,5,2020-03-22,21,"저는 위메프와 쿠팡 둘다 사용하고 있습니다. 근데 위메프 사용하시는 분들 아실거에요? 앱 실행 시부터 광고 뜨는거.. 걔짜증 남 지금은 뭐 유튜브 열어도 광고 어디든 광고가 없는곳이 없죠 하지만, 쿠팡 사용해보니깐 광고가 안뜸 그리ㅡㄱㆍ 위메프에 없는 서적 여기서 찾았어요~ 쿠팡 강추 아니 강강추~!!",
Bindle Wind,3,2020-03-24,14,재입고 알람이 안옵니다 전엔 왔었는데 언젠부터 전혀 알림이 오질 않더라구요 설정에서 알림 되게끔 되어 있는데도 말이죠 그래서 필요한 제품 재입고를 놓쳐 구매못하는 경우가 종종 있네요,
Cj,5,2020-04-22,9,삼품불량으로 환불했는데 처리가 정말 빨라요. 로켓배송제품이라서 그럴까요. 그리고 로켓와우는 계속사용할만한 것 같아요. 소비자입장에서는..정말 좋아요. 인상이 좋네요.,
이용진,5,2020-06-13,0,구매 취소 빠르고 배송도 빨라요 너무좋아요,
이가이,5,2020-06-10,0,업데이트 이후.. 렉이 걸리는건지.. 제대로 사용하기 힘드네요..,
강필주,4,2020-05-21,0,사용해보니까 좋아요...근데 가끔씩 배송이 잘못오거나 게시된것과 다른게 올때도 있네요,
Jaja J,5,2020-03-30,8,로켓배송 등 배송에 관련된 기능에서는 다른 곳들보다 차별점이 존재합니다. 그리고 많은 회원을 보유하고 있어 상품에 대한 리뷰데이터가 많고 그에대한 상품 신뢰도가 확실한 편입니다. 로켓배송으로 인해 배송비가 없기 때문인지 상품의 가격이 비싸고 가끔 할인하는 것처럼 보이면서 사실은 원가로 파는 사기행각들이 보이긴합니다. 또한 쿠페이 머니의 충전시작단위가 10만원인점은 아쉽네요,
김상윤,2,2020-05-04,7,"물건이 싸고 빨라서 좋은데요,저희 물건이 없어 졌다가 나타나고 계속 바뀌는데 이러면 물건을 못 팔잖아요.이점 꼭 수정 부탁드립니다.",
탱자의도담도담,5,2020-05-20,1,편리하게 사용하고있습니당ㅎㅎ 장바구니목록도 안없어지고ㅎㅎ 쿠팡중독ㅋㅋㅋㅋㅋㅋㅋㅋ,
서규석,5,2020-04-11,15,필요한 물건 여기서 다 구입이 가능하니 정말 좋아요. 물건 명칭 을 잘 몰라도 비슷한 말 로 처도 잘 안 내되어 있어 편리해요! 감사합니다,
박찬수,5,2020-04-27,32,"♡배송이 빠르고 정확하고,결제또한 간결해서 쿠팡에서 필요한 물품구매 거의전부를 구입하고 잘 이용하고 있습니다.수고많이 해 주시는 쿠팡맨님께도 감사드립니다.",
차애리,5,2020-05-29,3,편리하고 가격도 좋고 집에서 물건을 받을수 있어 최고,
정연준,1,2020-05-23,5,들어갈때마다 어플 깔라고 알람뜨고 상품평 보려면 계속 깔라고 해서 깔긴하는데 브라우저에서도 가능한걸 굳이 어플 설치하게 해서 별점 1개 준다,
학생의일상,1,2020-05-22,1,제가 산딸기를시켰는데요 오늘 온다고 하고선 아직 배송도 안했다네요 정말 애용했는데 저번에 이런 비슷한 적도 있었거든요 이런점 고쳐주세요,
변희경,3,2020-04-07,10,로켓와우로 분리되기보다 로켓배송으로 묶여있는것이 훨 편하지 싶은데..와우는 대상도 적고 해서 클릭하기가 매우 불편합니다.,
쿠루루,5,2020-05-21,3,빨리오고 가격도 좋고 너무 좋아요!!! 별 5개 나갑니다,
은서_eunseo,5,2020-04-28,8,진짜 좋아요!!! 6개월.....? 그정도 사용 중인데 진짜 원하는 상품 가격대별로 다 찾아볼수 있고 ....쨋든 진짜 좋아용!!!,
박춘하,5,2020-06-05,0,좋아요 빠르고안전하게배달해서 정말좋아요,
남고 정민,5,2020-06-10,2,"빠른배송 고객센터직원 친절한 응대 쿠팡,입니다 !",
구무완,1,2020-06-03,1,사진과너무다른디자인이왔고싸이즈가 너무작아요,
서방섭,1,2020-03-23,11,오류인지뭔지 너무 심한거아닌가요 쿠팡프레쉬 들어가면 제품들 뜨지도않고 필터걸려있나해서들어가보면 네트워크확인하라하는데 5g뜨고있고 재부팅을 몇번을해도 똑같고 뭐 사란건지 사지말란건지....,
B Lesser,5,2020-05-07,4,마스크 재입고 알림이 안 울립니다. 일부러 안 울리게 해놓으신 건지. 앱 알림에 팝업까지 다 활성화시켜놨습니다.,
윤선영,5,2020-05-19,0,"장바구니에 바로 직전에 담은 물건이 선택되서 결제되는거나, 나에게 필요한 상품을 추천해 주는건 좋은데요. 로켓프레시 주문하고 추가로 더 살게 있을 때 취소하고 다시 담는건 좀 번거로워요. 이마트 쓱처럼 주문더하기가 있으면 좋겠어요!",
최다은다은,5,2020-05-30,0,와~정말 좋아요 수영장 사러 왔는데 별거 별거 다 있네요👍👍👍👍👍👍👍👍 강추!!!!!,
못 배운 외동코기홍태풍,1,2020-04-18,60,진짜 그지같아 못해먹겠네 카드등록 한번 친구꺼로 잘못했다가 아예 명의가 바뀌어서 내 계정인데 아무것도 내 명의로 할 수가 없다. 상담 연결해도 명의변경 안된다곸ㅋㅋㅋㅋㅋㅋ 싯팔 뭐하자는거야,
임정우,4,2020-04-23,1,이야.. 동물의숲 게임칩 발매 하자마자 빨리 받으려고 쿠팡으로 샀으면 호구가 될뻔했네 오프라인 매장이 6만원대 인데 쿠팡은 10만원 이상이네요ㅋㅋ 닌텐도 쓰시는 여러분! 여기서 사지말고 걍 근처 매장가서 사셈 운동도 하고 돈도 받고ㅋㅋ 그것도 최소 4만원이나ㅋㅋ 이런건좀 제재를 좀...... 그래도 다른건 좋으니 별4개,
[Ddoongchae] 뚱채,4,2020-05-04,3,다 좋은데 요즘 너무 과대포장으로 들어와서 뜯기가 너무 힘들어요 분리수거 하는데 ㅜㅠ 그것 좀 바꿔주세요.,
그린그린,4,2020-05-05,3,구매후기 검색 기능 다시 살려주시면 좋겠습니다. 매번 pc모드로 들어가서 검색하니 너무 불편해요.,
nutcraker,1,2020-05-05,8,아니 구매할라고하면 로켓배송 상품추가하라고하고X누르면 구매창이꺼지고 로켓와우로 무료배송은 할라면 돈내야해서 X누르면 구매창이꺼지고 구매를 할수가없네 구매할수없는 쇼핑앱 별점 1개가 아깝네,
이진숙,4,2020-05-21,0,로켓배송이 빠르고 신선식품도 안전하게 포장되어 받았을때 깔끔하고 좋아요,
김자유,4,2020-06-06,0,가격도 중요하지만 성능이 저급 제품을 올리지 말았으면 합니다. 끝까지 쿠팡의 제품들을 믿고 살 수 있게끔 말입니다. 즉 저급 상품 추방,
모찌,3,2020-04-06,4,앱은 정말 잘쓰고 있는데요.. 쿠페이로 돈을 잘못넣어서...다시 계좌로 돈을보내니까...8만원이 공중분해됫어요..,
우명희,3,2020-05-09,4,쿠팡에 들어가서 제 폰기종이 LG Q9인데 보니까 계속계속 내려보니까 투명케이스 하나밖에 없더라고요..;; 그래서 디자인 쫌 더 많이 올려줬으면 합니다...😫😖😟,
이로나,5,2020-05-21,1,"좋은상품,좋은가격,빠는배송으로 쿠팡을 자주 애용합니다~~^^",
Jeomyong Park,5,2020-05-23,0,배송 빠르고 품질좋고 가성비좋고반품처리 확실하고,
Boyong Kim,5,2020-05-29,0,정말 좋아요! 필요한 것두 다있네요ㅎ 추천드려요,
류길종,1,2020-04-28,11,"정말 최악입니다. 상품 보유되지도 않았느데, 판매글 올려서 신청하면, 수일 기다리게 하고 결국 배송도 못하고 소비자는 피해를 보았어도 보상없이 취소 마음되로 하고, 환불은 했줬다고 자기들은 잘못 없다고 자랑스럽게 말하는 회사 ㅠㅠ 다른물건 구매한지 11일째 또 기다리는중 ~ 언제 도착할지도 공지 없음. 그냥 오프라인에서 사는게 나음. 최악이네요~",
황소례,5,2020-05-25,0,다양한 상품! 싼 가격! 빠른 배송!~~,
정윤이,4,2020-04-01,7,정말 다 좋은데 쿠페이 충전 최소금액이 저처럼 학생들한테는 좀 부담스럽습니다.최소금액이 10만원인데 학생이 가정살림살이를 사는 일도 별로 없고 무언가 필요할때 그때 마다 사는 것인데 적립금도 별로 없고 하니 로켓와우 회원이니까 쿠페이 충전을 해볼까 했더니 충전금액이 커서 부담스럽고.. 살때마다 뭔가 같은 회원인데도 혜택을 못받는 느낌이 들어서 고민 끝에 리뷰를 남깁니다. 혹시 쿠페이 최소 금액을 좀 낮춰 주실 수 있으신가요??,
조수빈,5,2020-04-10,3,아이디와 비밀번호 까먹었을때 바로 찾을수 있어서 좋았고 옷도 패션제품들이 심플하면서도 단아한 있어 잘 입고씁니다,
en h,4,2020-04-15,3,모바일로 쿠팡이용 잘하고 있어요.. 단 하나 불편한점이.. 네임스티커 주문하면서 추가정보기재로 아이들 이름을 적는데요 주문/결제완료후 주문목록- 상세보기에서 추가정보가 보이지않고 주문목록-배송조회-주문상세보기에서만 추가정보확인이 가능하네요 배송조회들어가야 나오네요! 주문목록-주문상세보기에서 바로 확인가능하다면 조금 더 편할것 같습니당.,
오진환,1,2020-04-27,10,어플 샐행 오류 핸드폰 사용 중간 중간에 쿠팡어플이 자동 실행됩니다. 매우 불편하고 앱 삭제합니다.,
